transaction_amount,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,has_failure_reason,currency__INR,currency__USD,currency__AED,payment_method_attempted__UPI,payment_method_attempted__CARD,payment_method_attempted__NET_BANKING,failure_category__TEMPORARY_FAILURE,failure_category__PAYMENT_METHOD_FAILURE,failure_category__CUSTOMER_ACTION_REQUIRED,failure_category__UNKNOWN_FAILURE,candidate_action_type__RETRY,candidate_action_type__ALTERNATE_METHOD,candidate_action_type__CUSTOMER_ACTION,candidate_action_type__ESCALATE,recovery_success
630,4,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1690,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1910,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2960,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1540,4,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
16840,3,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
17160,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
11870,5,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1430,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
980,5,4,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3410,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18830,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
15310,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8180,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
35470,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
3880,5,3,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
28750,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
870,3,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2400,5,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
27910,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5130,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2260,2,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
14040,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1280,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
830,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
4850,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
19060,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
4060,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
26220,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8470,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
800,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
1560,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
26020,4,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
650,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
11010,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2790,5,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2010,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
670,5,2,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
830,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
760,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
710,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
6610,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
10270,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
630,5,4,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2330,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
8260,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
670,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1380,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
11180,5,4,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
860,4,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
930,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1090,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1080,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22580,4,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2790,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
19290,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
670,5,3,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
610,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8500,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
730,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
22030,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
5580,5,4,4,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
610,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1000,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1030,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
830,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
19370,4,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
690,3,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
590,5,4,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1920,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
38090,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1740,5,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
14350,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2520,4,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1360,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
4970,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
7930,3,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
6090,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4600,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3130,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
12280,3,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
710,4,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1980,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3240,4,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11590,5,3,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6220,5,4,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
23910,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
660,5,4,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1090,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
620,5,2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
7390,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
610,5,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2350,5,2,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2960,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
750,5,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
13710,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7460,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
810,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
3900,4,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
610,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
5030,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1820,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
14690,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1020,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1310,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
1270,5,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6000,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2240,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
36170,3,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19150,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
13200,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
5670,2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
1110,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
610,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1200,5,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
600,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
13910,4,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
670,4,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1320,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1130,4,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5960,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
35710,5,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
9200,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
590,4,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3930,3,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2610,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
8580,4,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1170,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
16520,5,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1410,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2240,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
610,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
33020,5,4,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2170,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1300,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2120,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
930,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1460,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1100,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2270,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
630,5,4,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
24010,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
680,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4190,5,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1580,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1760,4,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
27830,5,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
600,3,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
650,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
650,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
820,5,3,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
640,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2910,4,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1460,2,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
610,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
29460,3,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
590,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1000,5,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3770,3,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
6170,3,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
2760,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
600,4,3,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
23320,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1020,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
24570,5,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
990,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
31790,4,3,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4330,3,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
8440,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2080,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
790,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
660,4,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
10340,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
950,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
18250,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1070,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3230,5,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
21430,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
13050,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
940,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4180,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2730,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
640,5,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2050,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
840,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
20500,3,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
670,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
750,4,3,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
1690,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2800,4,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
15690,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
710,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
10960,4,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
15510,5,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1360,5,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
930,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10870,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1190,4,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1740,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
7430,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
6240,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
30390,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
770,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
710,5,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1580,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5250,4,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
640,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2320,5,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
710,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
13220,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
35680,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2760,5,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
590,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
31060,4,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1450,3,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
11030,5,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7480,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
38340,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
2480,4,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1960,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
820,5,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
2670,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
12150,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
12810,5,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2070,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
910,5,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
7750,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
19530,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5930,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
18220,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1240,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
620,5,4,4,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
840,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
3190,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2280,4,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
620,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
33360,5,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8600,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
26410,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
17270,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7150,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
710,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
15990,5,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
8230,3,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11640,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
19150,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
4600,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1080,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
34940,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1300,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
25550,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
800,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
10540,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
780,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19250,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
23070,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
740,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2950,4,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
600,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
34970,5,4,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2780,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
760,5,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
4090,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
33730,4,3,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
19000,4,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
4940,5,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
830,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
630,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
11670,5,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
20310,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6600,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
670,3,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
2200,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
4460,5,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
