record_id,decision_id,decision_timestamp,transaction_id,attempt_id,transaction_amount,currency,payment_method,failure_category,failure_reason_present,failure_reason_text,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,prior_payment_method_history,candidate_action,selected_action,action_executed,recovery_success,recovery_outcome,outcome_timestamp,dataset_version,schema_version
record_00000013,decision_000000000055,2025-01-01T18:38:40.601Z,txn_000000000055,attempt_000000000055,630,INR,CARD,TEMPORARY_FAILURE,true,bank unavailable,3,2,1,"[""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T00:12:13.565Z,v1,6.2.1
record_00000014,decision_000000000056,2025-01-01T19:56:58.350Z,txn_000000000056,attempt_000000000056,6050,INR,CARD,UNKNOWN_FAILURE,true,unknown payment exception,4,3,3,"[""NET_BANKING"",""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-01T22:33:21.727Z,v1,6.2.1
record_00000015,decision_000000000057,2025-01-01T21:32:41.183Z,txn_000000000057,attempt_000000000057,7040,USD,UPI,TEMPORARY_FAILURE,true,temporary connectivity issue,1,0,0,"[""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T03:46:49.527Z,v1,6.2.1
record_00000016,decision_000000000058,2025-01-01T23:05:18.935Z,txn_000000000058,attempt_000000000058,1770,INR,UPI,TEMPORARY_FAILURE,true,bank unavailable,3,2,2,"[""UPI"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T00:45:50.917Z,v1,6.2.1
record_00000017,decision_000000000059,2025-01-02T00:29:07.911Z,txn_000000000059,attempt_000000000059,700,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,2,1,1,"[""UPI"",""NET_BANKING"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T03:36:31.200Z,v1,6.2.1
record_00000018,decision_000000000060,2025-01-02T01:55:22.935Z,txn_000000000060,attempt_000000000060,5410,INR,UPI,CUSTOMER_ACTION_REQUIRED,true,authentication challenge required,2,0,0,"[""CARD"",""CARD"",""CARD""]",RETRY,RETRY,true,0,FAILED,2025-01-02T02:59:26.667Z,v1,6.2.1
record_00000019,decision_000000000061,2025-01-02T03:25:14.703Z,txn_000000000061,attempt_000000000061,1160,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,2,1,1,"[""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T09:46:50.261Z,v1,6.2.1
record_00000020,decision_000000000062,2025-01-02T05:12:05.435Z,txn_000000000062,attempt_000000000062,1060,INR,CARD,UNKNOWN_FAILURE,true,provider return code unrecognized,2,1,1,"[""CARD"",""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-02T09:48:41.016Z,v1,6.2.1
record_00000021,decision_000000000063,2025-01-02T06:28:25.195Z,txn_000000000063,attempt_000000000063,19330,INR,CARD,PAYMENT_METHOD_FAILURE,true,payment method not supported,5,3,1,"[""NET_BANKING""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-02T10:58:52.266Z,v1,6.2.1
record_00000022,decision_000000000064,2025-01-02T07:36:47.322Z,txn_000000000064,attempt_000000000064,950,INR,UPI,PAYMENT_METHOD_FAILURE,true,payment method not supported,4,3,2,"[""CARD"",""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-02T09:50:00.907Z,v1,6.2.1
record_00000023,decision_000000000065,2025-01-02T09:22:29.748Z,txn_000000000065,attempt_000000000065,1770,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,customer consent pending,3,1,0,"[""CARD"",""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-02T15:14:03.202Z,v1,6.2.1
record_00000024,decision_000000000066,2025-01-02T11:00:45.044Z,txn_000000000066,attempt_000000000066,6750,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,2,1,1,"[""NET_BANKING""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T12:01:15.633Z,v1,6.2.1
record_00000025,decision_000000000067,2025-01-02T12:21:36.489Z,txn_000000000067,attempt_000000000067,2530,USD,CARD,UNKNOWN_FAILURE,true,unknown payment exception,1,0,0,"[""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-02T14:31:57.108Z,v1,6.2.1
record_00000026,decision_000000000068,2025-01-02T13:40:48.415Z,txn_000000000068,attempt_000000000068,15380,INR,CARD,UNKNOWN_FAILURE,true,generic payment failure,1,0,0,"[""CARD"",""UPI""]",RETRY,RETRY,true,0,FAILED,2025-01-02T15:33:34.875Z,v1,6.2.1
record_00000027,decision_000000000069,2025-01-02T15:03:42.727Z,txn_000000000069,attempt_000000000069,11560,INR,CARD,TEMPORARY_FAILURE,true,network instability,4,2,0,"[""NET_BANKING"",""UPI""]",RETRY,RETRY,true,0,FAILED,2025-01-02T20:11:49.901Z,v1,6.2.1
record_00000028,decision_000000000070,2025-01-02T16:59:41.694Z,txn_000000000070,attempt_000000000070,25250,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,4,0,0,"[""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-02T21:06:41.914Z,v1,6.2.1
record_00000029,decision_000000000071,2025-01-02T18:11:17.795Z,txn_000000000071,attempt_000000000071,4880,INR,NET_BANKING,TEMPORARY_FAILURE,true,network instability,2,1,1,"[""UPI"",""NET_BANKING""]",RETRY,RETRY,true,1,SUCCESS,2025-01-02T23:51:53.756Z,v1,6.2.1
record_00000030,decision_000000000072,2025-01-02T19:51:48.243Z,txn_000000000072,attempt_000000000072,14420,INR,UPI,UNKNOWN_FAILURE,true,unexpected gateway response,3,1,1,"[""UPI"",""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T00:24:32.398Z,v1,6.2.1
record_00000031,decision_000000000073,2025-01-02T21:16:21.723Z,txn_000000000073,attempt_000000000073,610,INR,CARD,PAYMENT_METHOD_FAILURE,true,bank rejected payment,3,0,0,"[""UPI"",""NET_BANKING""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T00:19:44.013Z,v1,6.2.1
record_00000032,decision_000000000074,2025-01-02T22:53:03.608Z,txn_000000000074,attempt_000000000074,590,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,kyc verification required,3,1,0,"[""UPI"",""CARD"",""UPI""]",RETRY,RETRY,true,0,FAILED,2025-01-03T02:14:11.949Z,v1,6.2.1
record_00000033,decision_000000000075,2025-01-03T00:02:03.115Z,txn_000000000075,attempt_000000000075,1990,INR,UPI,UNKNOWN_FAILURE,true,unknown payment exception,4,3,1,"[""UPI"",""CARD"",""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T03:56:19.793Z,v1,6.2.1
record_00000034,decision_000000000076,2025-01-03T01:51:54.355Z,txn_000000000076,attempt_000000000076,16530,USD,NET_BANKING,TEMPORARY_FAILURE,true,bank unavailable,5,0,0,"[""NET_BANKING"",""NET_BANKING""]",RETRY,RETRY,true,1,SUCCESS,2025-01-03T06:27:23.205Z,v1,6.2.1
record_00000035,decision_000000000077,2025-01-03T03:01:33.901Z,txn_000000000077,attempt_000000000077,10510,INR,NET_BANKING,UNKNOWN_FAILURE,true,generic payment failure,1,0,0,"[""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-03T06:28:22.844Z,v1,6.2.1
record_00000036,decision_000000000078,2025-01-03T04:32:16.056Z,txn_000000000078,attempt_000000000078,1330,USD,UPI,PAYMENT_METHOD_FAILURE,true,card declined,1,0,0,"[""NET_BANKING"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-03T05:51:57.365Z,v1,6.2.1
record_00000037,decision_000000000079,2025-01-03T06:40:28.549Z,txn_000000000079,attempt_000000000079,4580,INR,CARD,TEMPORARY_FAILURE,true,network instability,5,1,1,"[""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T09:58:33.774Z,v1,6.2.1
record_00000038,decision_000000000080,2025-01-03T07:49:31.191Z,txn_000000000080,attempt_000000000080,3640,AED,CARD,TEMPORARY_FAILURE,true,temporary connectivity issue,1,0,0,"[""NET_BANKING""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-03T11:54:12.522Z,v1,6.2.1
record_00000039,decision_000000000081,2025-01-03T09:34:43.246Z,txn_000000000081,attempt_000000000081,23410,INR,UPI,PAYMENT_METHOD_FAILURE,true,card declined,3,1,1,"[""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-03T10:04:46.371Z,v1,6.2.1
record_00000040,decision_000000000082,2025-01-03T10:45:33.371Z,txn_000000000082,attempt_000000000082,610,INR,CARD,PAYMENT_METHOD_FAILURE,true,upi app unavailable,1,0,0,"[""CARD"",""NET_BANKING""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T12:26:55.576Z,v1,6.2.1
record_00000041,decision_000000000083,2025-01-03T12:31:49.712Z,txn_000000000083,attempt_000000000083,28740,INR,CARD,PAYMENT_METHOD_FAILURE,true,bank rejected payment,3,0,0,"[""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T17:25:34.335Z,v1,6.2.1
record_00000042,decision_000000000084,2025-01-03T14:11:17.203Z,txn_000000000084,attempt_000000000084,36540,AED,CARD,UNKNOWN_FAILURE,true,unexpected gateway response,2,1,1,"[""NET_BANKING"",""UPI""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-03T16:05:16.472Z,v1,6.2.1
record_00000043,decision_000000000085,2025-01-03T15:13:46.919Z,txn_000000000085,attempt_000000000085,980,INR,CARD,UNKNOWN_FAILURE,true,unknown payment exception,5,1,1,"[""CARD"",""UPI"",""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T18:48:16.291Z,v1,6.2.1
record_00000044,decision_000000000086,2025-01-03T17:09:59.080Z,txn_000000000086,attempt_000000000086,4570,INR,UPI,TEMPORARY_FAILURE,true,temporary connectivity issue,5,3,2,"[""CARD"",""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-03T21:11:25.165Z,v1,6.2.1
record_00000045,decision_000000000087,2025-01-03T18:00:51.174Z,txn_000000000087,attempt_000000000087,610,INR,CARD,TEMPORARY_FAILURE,true,bank unavailable,4,1,0,"[""CARD"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-03T19:15:53.559Z,v1,6.2.1
record_00000046,decision_000000000088,2025-01-03T19:51:03.087Z,txn_000000000088,attempt_000000000088,1190,INR,CARD,TEMPORARY_FAILURE,true,gateway timeout,2,0,0,"[""NET_BANKING"",""NET_BANKING"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-04T01:14:46.963Z,v1,6.2.1
record_00000047,decision_000000000089,2025-01-03T21:07:18.429Z,txn_000000000089,attempt_000000000089,600,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,5,2,1,"[""UPI"",""CARD"",""CARD""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-04T03:01:56.856Z,v1,6.2.1
record_00000048,decision_000000000090,2025-01-03T22:33:57.539Z,txn_000000000090,attempt_000000000090,6880,AED,CARD,PAYMENT_METHOD_FAILURE,true,payment method not supported,3,2,2,"[""UPI"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-04T00:25:02.178Z,v1,6.2.1
record_00000049,decision_000000000091,2025-01-04T00:22:09.726Z,txn_000000000091,attempt_000000000091,1530,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,5,1,1,"[""UPI"",""UPI"",""UPI""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-04T03:58:10.609Z,v1,6.2.1
record_00000050,decision_000000000092,2025-01-04T01:47:03.495Z,txn_000000000092,attempt_000000000092,1210,INR,UPI,TEMPORARY_FAILURE,true,bank unavailable,4,2,1,"[""UPI"",""CARD"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-04T08:15:59.565Z,v1,6.2.1
record_00000051,decision_000000000093,2025-01-04T03:25:52.783Z,txn_000000000093,attempt_000000000093,760,USD,UPI,TEMPORARY_FAILURE,true,bank unavailable,5,0,0,"[""UPI"",""NET_BANKING"",""UPI""]",RETRY,RETRY,true,0,FAILED,2025-01-04T04:19:26.379Z,v1,6.2.1
record_00000052,decision_000000000094,2025-01-04T04:30:44.271Z,txn_000000000094,attempt_000000000094,680,INR,UPI,TEMPORARY_FAILURE,true,temporary connectivity issue,2,0,0,"[""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-04T10:47:10.293Z,v1,6.2.1
record_00000053,decision_000000000095,2025-01-04T06:37:01.500Z,txn_000000000095,attempt_000000000095,23200,AED,CARD,CUSTOMER_ACTION_REQUIRED,true,otp verification required,2,1,1,"[""UPI"",""UPI"",""UPI""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-04T08:23:04.260Z,v1,6.2.1
record_00000054,decision_000000000096,2025-01-04T07:30:39.788Z,txn_000000000096,attempt_000000000096,1300,INR,NET_BANKING,PAYMENT_METHOD_FAILURE,true,card declined,4,2,2,"[""UPI""]",RETRY,RETRY,true,0,FAILED,2025-01-04T13:05:43.899Z,v1,6.2.1
record_00000055,decision_000000000097,2025-01-04T09:41:40.656Z,txn_000000000097,attempt_000000000097,10050,AED,NET_BANKING,PAYMENT_METHOD_FAILURE,true,payment method not supported,1,0,0,"[""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-04T12:13:01.952Z,v1,6.2.1
record_00000056,decision_000000000098,2025-01-04T10:32:52.699Z,txn_000000000098,attempt_000000000098,1580,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,4,2,1,"[""UPI"",""UPI"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-04T16:20:34.931Z,v1,6.2.1
record_00000057,decision_000000000099,2025-01-04T12:18:14.337Z,txn_000000000099,attempt_000000000099,630,INR,NET_BANKING,TEMPORARY_FAILURE,true,network instability,4,2,1,"[""CARD"",""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-04T14:54:59.309Z,v1,6.2.1
record_00000058,decision_000000000100,2025-01-04T13:48:00.841Z,txn_000000000100,attempt_000000000100,1690,USD,NET_BANKING,PAYMENT_METHOD_FAILURE,true,payment method not supported,1,0,0,"[""NET_BANKING"",""UPI"",""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-04T15:28:05.651Z,v1,6.2.1
record_00000059,decision_000000000101,2025-01-04T15:43:04.588Z,txn_000000000101,attempt_000000000101,1910,INR,NET_BANKING,PAYMENT_METHOD_FAILURE,true,payment method not supported,2,1,0,"[""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-04T16:35:20.701Z,v1,6.2.1
record_00000060,decision_000000000102,2025-01-04T16:31:43.344Z,txn_000000000102,attempt_000000000102,2960,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,4,0,0,"[""UPI"",""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-04T21:48:49.535Z,v1,6.2.1
record_00000061,decision_000000000103,2025-01-04T18:16:32.313Z,txn_000000000103,attempt_000000000103,1540,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,authentication challenge required,4,2,1,"[""UPI"",""CARD""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-04T22:21:56.978Z,v1,6.2.1
record_00000062,decision_000000000104,2025-01-04T20:10:45.641Z,txn_000000000104,attempt_000000000104,16840,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,3,2,2,"[""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-05T00:14:53.794Z,v1,6.2.1
record_00000063,decision_000000000105,2025-01-04T21:17:14.331Z,txn_000000000105,attempt_000000000105,17160,INR,CARD,TEMPORARY_FAILURE,true,network instability,1,0,0,"[""UPI"",""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-05T03:36:04.142Z,v1,6.2.1
record_00000064,decision_000000000106,2025-01-04T22:57:44.007Z,txn_000000000106,attempt_000000000106,11870,INR,UPI,PAYMENT_METHOD_FAILURE,true,bank rejected payment,5,2,0,"[""CARD"",""CARD""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-05T03:16:33.589Z,v1,6.2.1
record_00000065,decision_000000000107,2025-01-05T00:37:34.792Z,txn_000000000107,attempt_000000000107,1430,INR,NET_BANKING,UNKNOWN_FAILURE,true,unexpected gateway response,1,0,0,"[""NET_BANKING"",""UPI""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-05T02:34:59.515Z,v1,6.2.1
record_00000066,decision_000000000108,2025-01-05T01:53:54.707Z,txn_000000000108,attempt_000000000108,980,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,5,4,2,"[""NET_BANKING""]",RETRY,RETRY,true,0,FAILED,2025-01-05T03:34:36.290Z,v1,6.2.1
record_00000067,decision_000000000109,2025-01-05T03:28:54.780Z,txn_000000000109,attempt_000000000109,3410,INR,CARD,TEMPORARY_FAILURE,true,temporary connectivity issue,2,1,1,"[""CARD"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T06:18:03.792Z,v1,6.2.1
record_00000068,decision_000000000110,2025-01-05T04:57:48.744Z,txn_000000000110,attempt_000000000110,18830,INR,UPI,PAYMENT_METHOD_FAILURE,true,bank rejected payment,2,1,1,"[""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-05T06:16:57.168Z,v1,6.2.1
record_00000069,decision_000000000111,2025-01-05T06:10:36.227Z,txn_000000000111,attempt_000000000111,15310,INR,CARD,TEMPORARY_FAILURE,true,bank unavailable,1,0,0,"[""UPI"",""UPI"",""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T10:23:42.402Z,v1,6.2.1
record_00000070,decision_000000000112,2025-01-05T07:35:54.250Z,txn_000000000112,attempt_000000000112,8180,INR,CARD,TEMPORARY_FAILURE,true,bank unavailable,2,1,0,"[""UPI"",""NET_BANKING"",""NET_BANKING""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T09:48:52.460Z,v1,6.2.1
record_00000071,decision_000000000113,2025-01-05T09:12:29.889Z,txn_000000000113,attempt_000000000113,35470,USD,CARD,TEMPORARY_FAILURE,true,temporary connectivity issue,1,0,0,"[""CARD""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T15:31:16.507Z,v1,6.2.1
record_00000072,decision_000000000114,2025-01-05T11:06:32.269Z,txn_000000000114,attempt_000000000114,3880,INR,UPI,PAYMENT_METHOD_FAILURE,true,payment method not supported,5,3,2,"[""UPI"",""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-05T17:34:21.523Z,v1,6.2.1
record_00000073,decision_000000000115,2025-01-05T12:13:23.335Z,txn_000000000115,attempt_000000000115,28750,INR,UPI,PAYMENT_METHOD_FAILURE,true,card declined,4,0,0,"[""UPI"",""UPI"",""NET_BANKING""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-05T12:50:51.701Z,v1,6.2.1
record_00000074,decision_000000000116,2025-01-05T14:06:05.929Z,txn_000000000116,attempt_000000000116,870,INR,CARD,TEMPORARY_FAILURE,true,bank unavailable,3,2,2,"[""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T19:37:39.665Z,v1,6.2.1
record_00000075,decision_000000000117,2025-01-05T15:42:36.685Z,txn_000000000117,attempt_000000000117,2400,AED,UPI,TEMPORARY_FAILURE,true,gateway timeout,5,1,1,"[""UPI"",""CARD"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-05T20:30:04.149Z,v1,6.2.1
record_00000076,decision_000000000118,2025-01-05T16:33:26.412Z,txn_000000000118,attempt_000000000118,27910,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,4,3,0,"[""UPI"",""UPI"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T17:15:48.560Z,v1,6.2.1
record_00000077,decision_000000000119,2025-01-05T18:24:05.366Z,txn_000000000119,attempt_000000000119,5130,INR,UPI,TEMPORARY_FAILURE,true,temporary connectivity issue,3,1,1,"[""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-05T19:16:46.536Z,v1,6.2.1
record_00000078,decision_000000000120,2025-01-05T19:45:17.386Z,txn_000000000120,attempt_000000000120,2260,AED,CARD,TEMPORARY_FAILURE,true,network instability,2,0,0,"[""UPI"",""UPI"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-05T23:23:37.598Z,v1,6.2.1
record_00000079,decision_000000000121,2025-01-05T21:09:51.365Z,txn_000000000121,attempt_000000000121,14040,INR,UPI,UNKNOWN_FAILURE,true,unexpected gateway response,4,1,1,"[""CARD"",""UPI""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-06T03:09:59.720Z,v1,6.2.1
record_00000080,decision_000000000122,2025-01-05T22:36:05.738Z,txn_000000000122,attempt_000000000122,1280,INR,CARD,TEMPORARY_FAILURE,true,network instability,2,0,0,"[""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-06T02:04:33.359Z,v1,6.2.1
record_00000081,decision_000000000123,2025-01-06T00:25:19.499Z,txn_000000000123,attempt_000000000123,830,INR,CARD,TEMPORARY_FAILURE,true,gateway timeout,4,1,0,"[""UPI"",""CARD""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-06T01:40:50.632Z,v1,6.2.1
record_00000082,decision_000000000124,2025-01-06T02:11:47.110Z,txn_000000000124,attempt_000000000124,4850,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,authentication challenge required,2,0,0,"[""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-06T08:17:57.634Z,v1,6.2.1
record_00000083,decision_000000000125,2025-01-06T03:39:19.061Z,txn_000000000125,attempt_000000000125,19060,USD,UPI,PAYMENT_METHOD_FAILURE,true,bank rejected payment,3,0,0,"[""UPI"",""CARD"",""NET_BANKING""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,0,FAILED,2025-01-06T06:02:35.726Z,v1,6.2.1
record_00000084,decision_000000000126,2025-01-06T04:57:12.249Z,txn_000000000126,attempt_000000000126,4060,INR,UPI,TEMPORARY_FAILURE,true,temporary connectivity issue,2,1,1,"[""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-06T05:47:25.113Z,v1,6.2.1
record_00000085,decision_000000000127,2025-01-06T06:09:39.899Z,txn_000000000127,attempt_000000000127,26220,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,customer consent pending,1,0,0,"[""CARD"",""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-06T11:18:57.909Z,v1,6.2.1
