transaction_amount,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,has_failure_reason,currency__INR,currency__USD,currency__AED,payment_method_attempted__UPI,payment_method_attempted__CARD,payment_method_attempted__NET_BANKING,failure_category__TEMPORARY_FAILURE,failure_category__PAYMENT_METHOD_FAILURE,failure_category__CUSTOMER_ACTION_REQUIRED,failure_category__UNKNOWN_FAILURE,candidate_action_type__RETRY,candidate_action_type__ALTERNATE_METHOD,candidate_action_type__CUSTOMER_ACTION,candidate_action_type__ESCALATE
19150,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
13200,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
5670,2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
1110,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
610,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1200,5,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
600,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
13910,4,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
670,4,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1320,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1130,4,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5960,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
35710,5,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
9200,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
590,4,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3930,3,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2610,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8580,4,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1170,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
16520,5,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1410,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2240,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
610,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
33020,5,4,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2170,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1300,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2120,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
930,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1460,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1100,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2270,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
630,5,4,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
24010,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
680,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
4190,5,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1580,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1760,4,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
27830,5,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
600,3,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
650,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
650,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
820,5,3,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
640,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2910,4,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
1460,2,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
610,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
29460,3,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
590,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1000,5,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
3770,3,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6170,3,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2760,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
600,4,3,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
23320,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1020,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
24570,5,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
990,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
31790,4,3,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
4330,3,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
8440,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2080,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
790,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
660,4,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
10340,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
950,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
18250,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1070,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3230,5,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
21430,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
13050,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
940,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
4180,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2730,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
640,5,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2050,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
840,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
20500,3,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
670,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
750,4,3,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1690,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2800,4,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
15690,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
710,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
10960,4,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
15510,5,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1360,5,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
930,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
10870,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1190,4,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1740,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
7430,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
6240,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
30390,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
770,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
710,5,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1580,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5250,4,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
640,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2320,5,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
710,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
13220,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
35680,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2760,5,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
590,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
31060,4,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
1450,3,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
11030,5,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
7480,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
38340,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2480,4,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1960,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
820,5,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2670,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
12150,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
12810,5,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2070,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
910,5,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
7750,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
19530,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
5930,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
18220,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1240,4,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
620,5,4,4,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
840,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
3190,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
2280,4,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
620,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
33360,5,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
8600,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
26410,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
17270,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
7150,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
710,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
15990,5,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
8230,3,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
11640,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
19150,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
4600,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1080,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
34940,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1300,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
25550,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
800,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
10540,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
780,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
19250,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
23070,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
740,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
2950,4,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
600,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
34970,5,4,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
2780,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
760,5,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
4090,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
33730,4,3,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
19000,4,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
4940,5,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
830,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
630,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
11670,5,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
20310,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
6600,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
670,3,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
2200,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
4460,5,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5150,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2270,5,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
25940,4,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
33890,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
5670,5,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8200,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
600,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
5680,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5540,5,3,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
21970,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
37810,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
14480,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
11140,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
810,5,3,3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2010,4,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
4000,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
810,5,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
